Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
ROOT,cad / cas / cid (Latin),to fall / to happen,accident,an unexpected happening; a fall from order,How does 'cas-' in 'cascade' describe a falling motion?,5
ROOT,calli (Greek),beautiful,calligraphy,the art of beautiful handwriting,How does 'calli-' in 'callipygian' describe bodily beauty?,6
ROOT,cant (Latin),to sing,incantation,a series of words sung as a magical spell,How does 'cant-' in 'cantata' and 'recant' reflect the act of singing?,5
ROOT,capit (Latin),head,decapitate,to cut off the head,How does 'capit-' in 'capitalize' reflect the head or chief position?,4
ROOT,carn (Latin),flesh / meat,carnivore,a flesh-eating animal,How does 'carn-' in 'reincarnation' describe a return in flesh?,5
ROOT,caus (Latin),cause / reason,causation,the relationship between cause and effect,How does 'caus-' in 'caustic' relate to causing burning?,5
ROOT,cav (Latin),hollow / hole,cavity,a hollow space within a solid body,How does 'cav-' in 'excavate' describe the act of creating hollows?,5
ROOT,ceiv / cept / cap (Latin),to take / to seize,receive,to take something given,How does 'cept-' in 'concept' describe taking an idea into the mind?,4
ROOT,centr (Latin/Greek),center,concentric,having the same center,How does 'centr-' in 'eccentric' describe deviation from center?,4
ROOT,chir (Greek),hand,chiropractor,a practitioner who adjusts the spine by hand,How does 'chir-' in 'chirography' describe hand-writing?,6
ROOT,chore (Greek),dance / chorus,choreography,the art of designing dance sequences,How does 'chore-' in 'choreographer' relate to movement and dance?,5
ROOT,cid / cis (Latin),to cut / to kill,incise,to cut into a surface,How does 'cis-' in 'scissors' and 'precise' relate to cutting?,5
ROOT,cit (Latin),to call / to summon,citation,a formal summons or reference,How does 'cit-' in 'excite' describe arousing action?,5
ROOT,civi (Latin),citizen / city,civilization,an advanced state of human society,How does 'civi-' in 'civilian' describe non-military status?,4
ROOT,clam / claim (Latin),to shout / to call out,exclaim,to cry out suddenly,How does 'claim-' in 'proclaim' describe a public declaration?,5
ROOT,clar (Latin),clear / bright,clarify,to make clear or easier to understand,How does 'clar-' in 'declaration' describe making something clear publicly?,4
ROOT,clin (Latin/Greek),to lean / to bend,incline,to lean toward; a slope,How does 'clin-' in 'decline' and 'recline' describe direction of lean?,5
ROOT,col / cult (Latin),to till / to cultivate / to worship,culture,the cultivation of the mind and society,How does 'cult-' in 'agriculture' relate to cultivating land?,4
ROOT,coron (Latin),crown,coronation,the ceremony of crowning a monarch,How does 'coron-' in 'coronavirus' describe its crown-like shape?,5
ROOT,corpor (Latin),body,incorporate,to form into a unified body,How does 'corpor-' in 'corporal' describe something of the body?,4
ROOT,cre / cresc (Latin),to grow / to arise,increase,to become greater in size,How does 'cresc-' in 'crescendo' describe a growing rise in sound?,5
ROOT,crit (Greek),to judge / to separate / to decide,critic,one who judges the quality of something,How does 'crit-' in 'criterion' describe a standard of judgment?,5
ROOT,cur / cura (Latin),care / to take care,curator,one who takes care of a collection,How does 'cur-' in 'procure' describe the act of obtaining something?,5
ROOT,cycl (Greek),circle / wheel / cycle,recycle,to process used materials into new products,How does 'cycl-' in 'bicycle' and 'cyclone' reflect circular motion?,3
ROOT,demo (Greek),people,democracy,government by the people,How does 'demo-' in 'epidemic' describe a disease among the people?,3
ROOT,dent (Latin),tooth,dentist,a doctor specializing in teeth,How does 'dent-' in 'indentation' relate to a tooth-like notch?,4
ROOT,dexter (Latin),right / skillful,dexterous,skillful with the hands,How does 'dexter-' in 'ambidextrous' describe skill with both hands?,6
ROOT,di / dicho (Greek),two / apart,dichotomy,a division into two contrasting parts,How does 'dicho-' describe the binary nature of a 'dichotomy'?,6
ROOT,digit (Latin),finger / toe / number,digital,relating to fingers or numerical digits,How does 'digit-' in 'digitize' connect fingers to electronic data?,4
ROOT,dign (Latin),worthy,dignity,the quality of being worthy of respect,How does 'dign-' in 'indignant' describe feeling wrongly dishonored?,5
ROOT,doc / doct (Latin),to teach / to learn,doctrine,a set of beliefs taught as true,How does 'doc-' in 'documentary' describe a teaching or factual record?,4
ROOT,dol (Latin),pain / grief,doleful,sorrowful; expressing grief,How does 'dol-' in 'condolence' describe sharing in grief?,6
ROOT,dom (Latin),house / master / authority,dominate,to have power or control over,How does 'dom-' in 'domain' and 'domestic' reflect the household?,4
ROOT,don (Latin),to give,donation,a gift given voluntarily,How does 'don-' in 'pardon' and 'donor' relate to giving?,4
ROOT,drom (Greek),running / course,syndrome,a set of symptoms running together,How does 'drom-' in 'palindrome' describe running back?,6
ROOT,dub / dout (Latin),to doubt,dubious,hesitating or doubting,How does 'dub-' in 'indubitable' describe certainty beyond doubt?,6
ROOT,dur (Latin),hard / lasting,endure,to last through hardship,How does 'dur-' in 'durable' and 'duration' reflect lasting qualities?,4
ROOT,dynam (Greek),power / force,dynamic,characterized by energy and power,How does 'dynam-' in 'aerodynamics' describe force in motion?,4
ROOT,ec / eco (Greek),house / environment,ecology,the study of organisms in their environment,How does 'eco-' in 'economy' literally relate to managing a household?,4
ROOT,educ (Latin),to lead out / raise up,education,the process of drawing out knowledge,How does 'educ-' in 'educe' describe drawing out potential?,4
ROOT,empt (Latin),to buy / to take,preempt,to take action in advance to prevent another,How does 'empt-' in 'exempt' describe being taken out of a category?,6
ROOT,equ (Latin),equal / even,equilibrium,a state of equal balance,How does 'equ-' in 'equation' describe making things equal?,4
ROOT,etym (Greek),true / original meaning,etymology,the study of the origin of words,How does 'etym-' in 'etymology' describe the search for true word origins?,6
ROOT,ev / aev (Latin),age / time period,medieval,relating to the Middle Ages,How does 'ev-' in 'longevity' describe a long span of time?,6
ROOT,evol / volv (Latin),to roll / to unfold,evolve,to develop gradually over time,How does 'volv-' in 'revolve' and 'involve' describe rolling motion?,4
ROOT,fac / fic / fect (Latin),to make / to do,factory,a place where things are made,How does 'fect-' in 'infect' describe something that acts on a body?,4
ROOT,fall / fals (Latin),to deceive / to err,fallacy,a mistaken belief based on faulty reasoning,How does 'fals-' in 'falsify' describe making something untrue?,5
ROOT,fam (Latin),fame / rumor / report,infamous,having a bad reputation,How does 'fam-' in 'defame' describe destroying a reputation?,5
ROOT,fasc (Latin),bundle / band,fascism,a system of dictatorial rule based on unity,How does 'fasc-' in 'fascia' describe a band of connective tissue?,6
ROOT,feder (Latin),league / treaty / faith,federation,a union formed by treaty,How does 'feder-' in 'confederation' describe a bound alliance?,5
ROOT,feli (Latin),happy / cat,felicity,great happiness,How does 'feli-' in 'felicitous' describe something apt and pleasing?,6
ROOT,fend / fens (Latin),to strike / to defend,defensive,intended to protect from attack,How does 'fend-' in 'offend' and 'defend' reflect opposing directions?,5
ROOT,ferv (Latin),to boil / to glow,fervent,having intense emotion or enthusiasm,How does 'ferv-' in 'fervid' describe the heat of strong feeling?,6
ROOT,fig (Latin),to form / shape,figure,a shape or outline,How does 'fig-' in 'configure' and 'disfigure' relate to shaping form?,5
ROOT,fili (Latin),son / daughter / thread,filament,a very fine thread or fiber,How does 'fili-' in 'affiliate' describe a son-like association?,6
ROOT,flor (Latin),flower,flourish,to grow vigorously like a flower,How does 'flor-' in 'floral' and 'Florida' reflect its meaning?,4
ROOT,flu / fluv (Latin),to flow,fluid,a substance that flows,How does 'flu-' in 'influence' relate to a flowing effect?,4
ROOT,foli (Latin),leaf,foliage,the collective leaves of a plant,How does 'foli-' in 'portfolio' relate to sheets of paper like leaves?,5
ROOT,foss (Latin),to dig / ditch,fossil,the preserved remains of a dug-up organism,How does 'foss-' in 'fossil' describe something dug from the earth?,5
ROOT,frat (Latin),brother,fraternity,a brotherhood or group of men,How does 'frat-' in 'fraternize' describe brotherly relations?,5
ROOT,frug / fruit (Latin),fruit / enjoyment,frugal,economical; avoiding waste,How does 'frug-' in 'frugal' relate to using the fruit of one's labor wisely?,6
ROOT,fund / found (Latin),bottom / foundation / to pour,fundamental,forming a necessary base or foundation,How does 'fund-' in 'profound' describe depth to the bottom?,4
ROOT,gamy (Greek),marriage / union of,bigamy,the crime of marrying while already married,How does 'gamy' in 'monogamy' describe a pattern of marriage?,5
ROOT,gastr (Greek),stomach,gastronomy,the art of good eating,How does 'gastr-' in 'gastric' specify the organ involved?,5
ROOT,gymn (Greek),naked / athletic,gymnastics,athletic exercises performed without clothing restraint,How does 'gymn-' in 'gymnasium' relate to ancient Greek athletic practice?,5
ROOT,gyn (Greek),woman / female,gynecology,branch of medicine for female health,How does 'gyn-' in 'misogyny' describe its meaning with 'miso-'?,5
ROOT,hab / habi (Latin),to have / to hold / to live,habit,a regular tendency or settled practice,How does 'hab-' in 'inhabit' describe the act of living somewhere?,4
ROOT,hall (Old English),hall / large room / dwelling,hallmark,a mark of quality stamped at Goldsmiths Hall,How does 'hall-' in 'hallway' describe its original architectural meaning?,5
ROOT,hap (Old Norse),luck / fortune / chance,haphazard,lacking order; depending on chance,How does 'hap-' in 'mishap' and 'perhaps' relate to fortune?,5
ROOT,hegemon (Greek),leader / guide,hegemony,leadership or dominance over others,How does 'hegemon-' in 'hegemony' describe political dominance?,6
ROOT,heli (Greek),sun,heliocentric,centered on the sun,How does 'heli-' in 'heliotrope' describe its orientation to the sun?,5
ROOT,her / hes (Latin),to stick,coherent,sticking together logically,How does 'her-' in 'adhere' and 'inherent' describe the act of sticking?,5
ROOT,hered / heir (Latin),heir / inheritance,hereditary,passed down through inheritance,How does 'hered-' in 'heredity' describe biological inheritance?,5
ROOT,hol (Greek),whole / entire,holistic,treating something as a whole,How does 'hol-' in 'catholic' ('according to the whole') reflect totality?,5
ROOT,hom (Latin),man / human being,homage,respect paid to a lord or person of honor,How does 'hom-' in 'homicide' describe the victim?,5
ROOT,hypn (Greek),sleep,hypnosis,an artificially induced sleep-like state,How does 'hypn-' in 'hypnotic' describe sleep-inducing quality?,5
ROOT,iatr (Greek),physician / healer,psychiatry,medical treatment of mental disorders,How does '-iatr-' in 'geriatrics' describe medical treatment of the elderly?,6
ROOT,idi (Greek),one's own / personal / peculiar,idiosyncrasy,a distinctive personal quirk,How does 'idi-' in 'idiolect' describe a person's unique language?,6
ROOT,imag (Latin),likeness / image,imagination,the faculty of forming mental images,How does 'imag-' in 'imitate' relate to reproducing a likeness?,4
ROOT,jac / ject (Latin),to throw,projectile,an object thrown or fired,How does 'ject-' in 'inject' and 'eject' describe directions of throwing?,4
ROOT,judic (Latin),judgment / law,judicious,having or showing good judgment,How does 'judic-' in 'judiciary' describe the branch of law?,5
ROOT,kine (Greek),movement,kinetic,relating to or resulting from motion,How does 'kine-' in 'telekinesis' describe movement at a distance?,5
ROOT,laps (Latin),to slip / to fall,elapsed,of time: passed by,How does 'laps-' in 'relapse' describe a slipping back?,5
ROOT,lat (Latin),side / to carry / wide,lateral,relating to the side,How does 'lat-' in 'translate' relate to carrying across?,4
ROOT,laud (Latin),praise,laudatory,expressing or giving praise,How does 'laud-' in 'applaud' describe praising through clapping?,5
ROOT,lax / leas (Latin),to loosen / to release,relax,to become less tense or strict,How does 'lax-' in 'laxative' describe a loosening effect?,5
ROOT,leag / lig / leg (Latin),to bind / to gather / law,league,an association bound together by common purpose,How does 'lig-' in 'ligament' describe a binding structure?,5
ROOT,lingu (Latin),tongue / language,bilingual,able to speak two languages,How does 'lingu-' in 'linguistics' describe the study of language?,4
ROOT,lud / lus (Latin),to play,illusion,a deceptive appearance; a play on perception,How does 'lud-' in 'ludicrous' describe something absurdly playful?,5
ROOT,lun (Latin),moon,lunatic,"historically, one affected by the moon",How does 'lun-' in 'lunar' describe phenomena related to the moon?,4
ROOT,mal (Latin),bad / evil / ill,malfunction,a failure to function normally,How does 'mal-' in 'malevolent' combine with 'vol-' to describe evil will?,3
ROOT,mand (Latin),to order / to command,mandatory,required by law or command,How does 'mand-' in 'remand' describe sending back under order?,5
ROOT,mater (Latin),mother,maternal,relating to a mother,How does 'mater-' in 'matrix' reflect the mother as origin?,4
ROOT,mechan (Greek),machine / device,mechanism,the arrangement of parts in a machine,How does 'mechan-' in 'mechanical' describe machine-like operation?,4
